family,effect,replicate,seed,stream_type,evaluation,method,alarm_time,false_alarm,conditional_eligible,post_change_detected,censored,run_length_units,run_length_cycles,restricted_delay_units,time_unit_cycles,restricted_delay_cycles,restriction_horizon_units,restriction_horizon_cycles,threshold
spatial,0.55,9,60000009,no_change,null_arl,validation-trained linear logistic effect,179,True,True,False,False,179,179,,1,,1000,1000,200.0
spatial,0.55,10,60000010,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,10,60000010,no_change,null_arl,raw symmetry-resolved AOC,224,True,True,False,False,224,224,,1,,1000,1000,200.0
spatial,0.55,10,60000010,no_change,null_arl,vAOC / same-feature Hotelling,206,True,True,False,False,206,206,,1,,1000,1000,200.0
spatial,0.55,10,60000010,no_change,null_arl,matched correlation witness,196,True,True,False,False,196,196,,1,,1000,1000,200.0
spatial,0.55,10,60000010,no_change,null_arl,exact one-cycle likelihood grid SR,204,True,True,False,False,204,204,,1,,1000,1000,200.0
spatial,0.55,10,60000010,no_change,null_arl,known-post one-cycle likelihood SR,204,True,True,False,False,204,204,,1,,1000,1000,200.0
spatial,0.55,10,60000010,no_change,null_arl,validation-trained linear logistic effect,191,True,True,False,False,191,191,,1,,1000,1000,200.0
spatial,0.55,11,60000011,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,11,60000011,no_change,null_arl,raw symmetry-resolved AOC,144,True,True,False,False,144,144,,1,,1000,1000,200.0
spatial,0.55,11,60000011,no_change,null_arl,vAOC / same-feature Hotelling,172,True,True,False,False,172,172,,1,,1000,1000,200.0
spatial,0.55,11,60000011,no_change,null_arl,matched correlation witness,229,True,True,False,False,229,229,,1,,1000,1000,200.0
spatial,0.55,11,60000011,no_change,null_arl,exact one-cycle likelihood grid SR,591,True,True,False,False,591,591,,1,,1000,1000,200.0
spatial,0.55,11,60000011,no_change,null_arl,known-post one-cycle likelihood SR,591,True,True,False,False,591,591,,1,,1000,1000,200.0
spatial,0.55,11,60000011,no_change,null_arl,validation-trained linear logistic effect,222,True,True,False,False,222,222,,1,,1000,1000,200.0
spatial,0.55,12,60000012,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,12,60000012,no_change,null_arl,raw symmetry-resolved AOC,211,True,True,False,False,211,211,,1,,1000,1000,200.0
spatial,0.55,12,60000012,no_change,null_arl,vAOC / same-feature Hotelling,202,True,True,False,False,202,202,,1,,1000,1000,200.0
spatial,0.55,12,60000012,no_change,null_arl,matched correlation witness,190,True,True,False,False,190,190,,1,,1000,1000,200.0
spatial,0.55,12,60000012,no_change,null_arl,exact one-cycle likelihood grid SR,128,True,True,False,False,128,128,,1,,1000,1000,200.0
spatial,0.55,12,60000012,no_change,null_arl,known-post one-cycle likelihood SR,128,True,True,False,False,128,128,,1,,1000,1000,200.0
spatial,0.55,12,60000012,no_change,null_arl,validation-trained linear logistic effect,193,True,True,False,False,193,193,,1,,1000,1000,200.0
spatial,0.55,13,60000013,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,13,60000013,no_change,null_arl,raw symmetry-resolved AOC,210,True,True,False,False,210,210,,1,,1000,1000,200.0
spatial,0.55,13,60000013,no_change,null_arl,vAOC / same-feature Hotelling,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,13,60000013,no_change,null_arl,matched correlation witness,204,True,True,False,False,204,204,,1,,1000,1000,200.0
spatial,0.55,13,60000013,no_change,null_arl,exact one-cycle likelihood grid SR,328,True,True,False,False,328,328,,1,,1000,1000,200.0
spatial,0.55,13,60000013,no_change,null_arl,known-post one-cycle likelihood SR,328,True,True,False,False,328,328,,1,,1000,1000,200.0
spatial,0.55,13,60000013,no_change,null_arl,validation-trained linear logistic effect,201,True,True,False,False,201,201,,1,,1000,1000,200.0
spatial,0.55,14,60000014,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,14,60000014,no_change,null_arl,raw symmetry-resolved AOC,175,True,True,False,False,175,175,,1,,1000,1000,200.0
spatial,0.55,14,60000014,no_change,null_arl,vAOC / same-feature Hotelling,202,True,True,False,False,202,202,,1,,1000,1000,200.0
spatial,0.55,14,60000014,no_change,null_arl,matched correlation witness,213,True,True,False,False,213,213,,1,,1000,1000,200.0
spatial,0.55,14,60000014,no_change,null_arl,exact one-cycle likelihood grid SR,276,True,True,False,False,276,276,,1,,1000,1000,200.0
spatial,0.55,14,60000014,no_change,null_arl,known-post one-cycle likelihood SR,276,True,True,False,False,276,276,,1,,1000,1000,200.0
spatial,0.55,14,60000014,no_change,null_arl,validation-trained linear logistic effect,206,True,True,False,False,206,206,,1,,1000,1000,200.0
spatial,0.55,15,60000015,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,15,60000015,no_change,null_arl,raw symmetry-resolved AOC,183,True,True,False,False,183,183,,1,,1000,1000,200.0
spatial,0.55,15,60000015,no_change,null_arl,vAOC / same-feature Hotelling,188,True,True,False,False,188,188,,1,,1000,1000,200.0
spatial,0.55,15,60000015,no_change,null_arl,matched correlation witness,223,True,True,False,False,223,223,,1,,1000,1000,200.0
spatial,0.55,15,60000015,no_change,null_arl,exact one-cycle likelihood grid SR,232,True,True,False,False,232,232,,1,,1000,1000,200.0
spatial,0.55,15,60000015,no_change,null_arl,known-post one-cycle likelihood SR,232,True,True,False,False,232,232,,1,,1000,1000,200.0
spatial,0.55,15,60000015,no_change,null_arl,validation-trained linear logistic effect,218,True,True,False,False,218,218,,1,,1000,1000,200.0
spatial,0.55,16,60000016,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,16,60000016,no_change,null_arl,raw symmetry-resolved AOC,210,True,True,False,False,210,210,,1,,1000,1000,200.0
spatial,0.55,16,60000016,no_change,null_arl,vAOC / same-feature Hotelling,210,True,True,False,False,210,210,,1,,1000,1000,200.0
spatial,0.55,16,60000016,no_change,null_arl,matched correlation witness,195,True,True,False,False,195,195,,1,,1000,1000,200.0
spatial,0.55,16,60000016,no_change,null_arl,exact one-cycle likelihood grid SR,128,True,True,False,False,128,128,,1,,1000,1000,200.0
spatial,0.55,16,60000016,no_change,null_arl,known-post one-cycle likelihood SR,128,True,True,False,False,128,128,,1,,1000,1000,200.0
spatial,0.55,16,60000016,no_change,null_arl,validation-trained linear logistic effect,195,True,True,False,False,195,195,,1,,1000,1000,200.0
spatial,0.55,17,60000017,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,17,60000017,no_change,null_arl,raw symmetry-resolved AOC,135,True,True,False,False,135,135,,1,,1000,1000,200.0
spatial,0.55,17,60000017,no_change,null_arl,vAOC / same-feature Hotelling,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,17,60000017,no_change,null_arl,matched correlation witness,192,True,True,False,False,192,192,,1,,1000,1000,200.0
spatial,0.55,17,60000017,no_change,null_arl,exact one-cycle likelihood grid SR,91,True,True,False,False,91,91,,1,,1000,1000,200.0
spatial,0.55,17,60000017,no_change,null_arl,known-post one-cycle likelihood SR,91,True,True,False,False,91,91,,1,,1000,1000,200.0
spatial,0.55,17,60000017,no_change,null_arl,validation-trained linear logistic effect,190,True,True,False,False,190,190,,1,,1000,1000,200.0
spatial,0.55,18,60000018,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,18,60000018,no_change,null_arl,raw symmetry-resolved AOC,161,True,True,False,False,161,161,,1,,1000,1000,200.0
spatial,0.55,18,60000018,no_change,null_arl,vAOC / same-feature Hotelling,217,True,True,False,False,217,217,,1,,1000,1000,200.0
spatial,0.55,18,60000018,no_change,null_arl,matched correlation witness,205,True,True,False,False,205,205,,1,,1000,1000,200.0
spatial,0.55,18,60000018,no_change,null_arl,exact one-cycle likelihood grid SR,181,True,True,False,False,181,181,,1,,1000,1000,200.0
spatial,0.55,18,60000018,no_change,null_arl,known-post one-cycle likelihood SR,181,True,True,False,False,181,181,,1,,1000,1000,200.0
spatial,0.55,18,60000018,no_change,null_arl,validation-trained linear logistic effect,196,True,True,False,False,196,196,,1,,1000,1000,200.0
spatial,0.55,19,60000019,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,19,60000019,no_change,null_arl,raw symmetry-resolved AOC,226,True,True,False,False,226,226,,1,,1000,1000,200.0
spatial,0.55,19,60000019,no_change,null_arl,vAOC / same-feature Hotelling,206,True,True,False,False,206,206,,1,,1000,1000,200.0
spatial,0.55,19,60000019,no_change,null_arl,matched correlation witness,188,True,True,False,False,188,188,,1,,1000,1000,200.0
spatial,0.55,19,60000019,no_change,null_arl,exact one-cycle likelihood grid SR,137,True,True,False,False,137,137,,1,,1000,1000,200.0
spatial,0.55,19,60000019,no_change,null_arl,known-post one-cycle likelihood SR,137,True,True,False,False,137,137,,1,,1000,1000,200.0
spatial,0.55,19,60000019,no_change,null_arl,validation-trained linear logistic effect,188,True,True,False,False,188,188,,1,,1000,1000,200.0
spatial,0.55,20,60000020,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,20,60000020,no_change,null_arl,raw symmetry-resolved AOC,163,True,True,False,False,163,163,,1,,1000,1000,200.0
spatial,0.55,20,60000020,no_change,null_arl,vAOC / same-feature Hotelling,198,True,True,False,False,198,198,,1,,1000,1000,200.0
spatial,0.55,20,60000020,no_change,null_arl,matched correlation witness,204,True,True,False,False,204,204,,1,,1000,1000,200.0
