family,dimension,seed,strength,commutator,offdiagonal_residual,deca_success,pgm_success,oracle_success,oracle_gap,gap_bound,bound_slack,jacobi_sweeps
noncommuting_sweep,4,1,0.375,0.02742815031233671,0.11883796334181936,0.7300539796171475,0.6043808750147671,0.7300539784859338,-1.131213678284837e-09,0.2376759266836387,0.2376759278148524,5
noncommuting_sweep,4,1,0.5,0.03071841056379331,0.15840398180191625,0.7073959579974556,0.5855878383783992,0.7073959548438418,-3.1536138145327186e-09,0.3168079636038325,0.3168079667574463,7
noncommuting_sweep,4,1,0.625,0.03177750836254991,0.15357741696508168,0.6878430473080711,0.57064808887286,0.6878430450257005,-2.282370625827923e-09,0.30715483393016335,0.307154836212534,6
noncommuting_sweep,4,1,0.75,0.032638039559100246,0.1526714476453187,0.6782838008560892,0.56483632969628,0.6782837928704397,-7.985649475017453e-09,0.3053428952906374,0.3053429032762869,6
noncommuting_sweep,4,1,0.875,0.033954713738875895,0.15013225322597865,0.6810344141673466,0.5686491233290886,0.6810344059211575,-8.246189064919918e-09,0.3002645064519573,0.30026451469814636,6
noncommuting_sweep,4,1,1.0,0.034980992563118464,0.1468752526575622,0.6914364793558743,0.5776224060468566,0.6914364737789773,-5.576896944248233e-09,0.2937505053151244,0.29375051089202137,6
noncommuting_sweep,4,2,0.0,2.2289923443840866e-17,1.0511619537174058e-16,0.6041251906720897,0.5204782760892113,0.6041251785419556,-1.2130134119381353e-08,2.1023239074348117e-16,1.2130134329613744e-08,1
noncommuting_sweep,4,2,0.125,0.020374894258961284,0.1942076734355621,0.6468968694041702,0.5413031279309909,0.6468968665359784,-2.868191795180053e-09,0.3884153468711242,0.388415349739316,6
noncommuting_sweep,4,2,0.25,0.03541657144547161,0.17594615107082703,0.7038660075409983,0.5872996005263647,0.7038660042228231,-3.3181751790678504e-09,0.35189230214165407,0.35189230545982925,6
noncommuting_sweep,4,2,0.375,0.04247592832581804,0.1571810488054057,0.7409266025875779,0.6238916479484533,0.7409266001152508,-2.4723271208060282e-09,0.3143620976108114,0.31436210008313853,7
noncommuting_sweep,4,2,0.5,0.04413038754703146,0.15911024508697802,0.7482927296809238,0.6326294685839644,0.7482927276139263,-2.0669974620801668e-09,0.31822049017395604,0.3182204922409535,8
noncommuting_sweep,4,2,0.625,0.0472027936756085,0.18331722135370332,0.7265855710103125,0.6127921737308293,0.7265855654934013,-5.5169112611608284e-09,0.36663444270740664,0.3666344482243179,8
noncommuting_sweep,4,2,0.75,0.054369227342543174,0.21769765658317305,0.6854470585232012,0.575761541548339,0.6854470452182083,-1.3304992885210254e-08,0.4353953131663461,0.435395326471339,9
noncommuting_sweep,4,2,0.875,0.060575477562977896,0.24787621179816907,0.6415150144762859,0.5389458866331884,0.641514999399025,-1.5077260884233112e-08,0.49575242359633814,0.495752438673599,10
noncommuting_sweep,4,2,1.0,0.062229921503879064,0.2639558171501587,0.6136571634687933,0.5176612818614982,0.6136571512118536,-1.2256939685428847e-08,0.5279116343003174,0.5279116465572571,11
