dataset,method,accuracy,fit_seconds,predict_microseconds,jacobi_sweeps,jacobi_objective_gain,offdiagonal_residual
digits,PVM-DECA-amplitude,0.8900959455277004,2.122581175470259,77.92060849747119,10.0,0.266224900987728,0.10642829174830284
digits,QDA,0.9785786134323737,1.2679319590097293,17.945068457961014,,,
digits,Random-forest,0.9774628597957289,0.3118351785233244,128.6706259822828,,,
digits,SVM-RBF,0.982471371092541,0.03433048300212245,34.163688165349704,,,
digits,SVM-polynomial-2,0.9899822036521201,0.0290464825229719,15.431030557431217,,,
digits,Spectral-DECA-affine,0.7671053853296194,1.9499940180103295,96.62403435589653,10.0,0.25843919073802146,0.20714560448537034
digits,Spectral-DECA-amplitude,0.8071843082636955,1.980458753008861,89.63779945180734,10.0,0.266224900987728,0.10642829174830284
dry_bean,Hist-gradient-boosting,0.9275954984386143,3.572358651959803,7.709720076871303,,,
dry_bean,LDA-shrinkage,0.8998975311137093,0.025044741050805848,0.1971261884776285,,,
dry_bean,Logistic,0.9245835607796324,0.1313097395468503,0.28083957306771135,,,
dry_bean,PGM-affine,0.8288147365234189,0.0610386190237477,4.718169072477718,,,
dry_bean,PVM-DECA-amplitude,0.616192431576553,0.1709150579408742,4.09405623623242,20.0,0.11442550924596584,0.19414353749071228
dry_bean,QDA,0.9196975825437811,0.01375748647842555,0.6962305141515718,,,
dry_bean,Random-forest,0.9250608674628703,0.7474328220123425,16.995818679399576,,,
dry_bean,SVM-RBF,0.9305344329186997,0.2139813934918493,52.9572229624665,,,
dry_bean,SVM-polynomial-2,0.9292487485843912,0.1677059684298001,23.34491642035303,,,
dry_bean,Spectral-DECA-affine,0.436779044701259,0.2062012019450776,5.05522539302663,20.0,0.10029292716577395,0.26956461629006967
dry_bean,Spectral-DECA-amplitude,0.49287327883976345,0.16763372055720535,4.281139276916186,20.0,0.11442550924596584,0.19414353749071228
iris,Hist-gradient-boosting,0.9400000000000001,1.711855007451959,72.00826657935977,,,
iris,LDA-shrinkage,0.9766666666666668,0.00177915603853755,5.304182802016536,,,
iris,Logistic,0.9566666666666667,0.0017707545193843001,6.151185759032765,,,
iris,PGM-affine,0.8866666666666667,0.0009081025491468,6.593366075928013,,,
iris,PVM-DECA-amplitude,0.5433333333333333,0.0073292559827676995,9.997767241050799,15.5,0.042445222101834046,0.23463121541533974
iris,QDA,0.9566666666666667,0.0006770280306227,6.652547745034099,,,
iris,Random-forest,0.9433333333333334,0.2636529760202393,891.310415075471,,,
iris,SVM-RBF,0.96,0.0007873334106989,6.406032480299473,,,
iris,SVM-polynomial-2,0.9633333333333333,0.00080656900536265,7.66038428992033,,,
iris,Spectral-DECA-affine,0.8099999999999999,0.020848524989560198,8.866567319879929,9.5,0.07698352213347931,0.2568018909495541
