scenario,effect,method_id,method_label,feature_family,estimator,feature_dimension,train_windows,validation_windows,test_windows,fixed_parameters,fit_seconds,validation_score_seconds,test_score_seconds,validation_threshold,validation_roc_auc,validation_balanced_accuracy,test_roc_auc,test_balanced_accuracy,test_true_negative,test_false_positive,test_false_negative,test_true_positive,test_true_negative_rate,test_true_positive_rate
spatial,0.65,translation::positive_part_mean_direction,Translation statistic / pair lift · Positive-part mean direction,translation,positive_part_mean_direction,3,1600,800,2000,"{""l1_normalized"": true, ""positive_support_size"": 1, ""simplex_operator_interpretation"": false}",6.36309850961e-05,1.07369851321e-05,5.71098644286e-06,0.7125,0.67100625,0.62875,0.6845175,0.6155,439,561,208,792,0.439,0.792
spatial,0.65,translation::regularized_hotelling,Translation statistic / pair lift · Regularized Hotelling,translation,regularized_hotelling,3,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 1.6714268140351238e-05, ""ridge_fraction"": 0.05}",0.000190772931091,4.17104456574e-06,4.03996091336e-06,-0.010346512497,0.9881125,0.9475,0.983447,0.94,925,75,45,955,0.925,0.955
spatial,0.65,symmetry_fourier::linear_logistic,D4 Fourier / pair lift · Linear logistic,symmetry_fourier,linear_logistic,6,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00156028789934,0.000203732983209,0.000175838940777,-0.0961781530364,0.9878,0.94875,0.98462,0.941,934,66,52,948,0.934,0.948
spatial,0.65,symmetry_fourier::rbf_svm,D4 Fourier / pair lift · RBF SVM,symmetry_fourier,rbf_svm,6,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0067908919882,0.00408001197502,0.00955956499092,-0.199542727139,0.9854,0.9475,0.981365,0.937,928,72,54,946,0.928,0.946
spatial,0.65,symmetry_fourier::simplex_positive_support_projector,D4 Fourier / pair lift · Simplex indicator positive-support projector,symmetry_fourier,simplex_positive_support_projector,6,1600,800,2000,"{""indicator_effect"": true, ""positive_support_size"": 3, ""simplex_operator_interpretation"": true}",0.000109263928607,9.15699638426e-06,7.54802022129e-06,0.181523606798,0.77371875,0.70875,0.7547235,0.6825,689,311,324,676,0.689,0.676
spatial,0.65,symmetry_fourier::regularized_hotelling,D4 Fourier / pair lift · Regularized Hotelling,symmetry_fourier,regularized_hotelling,6,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 4.748049670942841e-06, ""ridge_fraction"": 0.05}",0.000188431004062,5.84300141782e-06,6.54405448586e-06,-0.00570264243276,0.98811875,0.94875,0.984515,0.941,938,62,56,944,0.938,0.944
spatial,0.65,raw_binary_window::rbf_hamming_mmd_witness,Raw binary window · RBF-Hamming MMD witness,raw_binary_window,rbf_hamming_mmd_witness,1600,1600,800,2000,"{""gamma"": 4.780325383172037, ""median_hamming_fraction"": 0.145, ""prototypes_per_class"": 128, ""seed"": 573650}",0.0280548930168,0.093550659949,0.210736562964,-0.00275951516676,0.49006875,0.5275,0.512997,0.508,899,101,883,117,0.899,0.117
spatial,0.65,full_observation::exact_llr_ceiling,Exact spatial window LLR ceiling,full_observation,exact_llr_ceiling,1600,1600,800,2000,"{""batch_windows"": 64, ""full_hmm"": false, ""known_alternative"": 0.65, ""known_null"": 0.35}",0,0.127201797906,0.364978270954,0.560481727171,0.99345,0.96375,0.989838,0.9495,963,37,64,936,0.963,0.936
temporal,0.5,dfr_count_sequence::linear_logistic,DFR/count sequence · Linear logistic,dfr_count_sequence,linear_logistic,128,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00300815107767,0.000464495038614,0.00149251101539,-0.147686351869,0.523925,0.53875,0.506339,0.494,399,601,411,589,0.399,0.589
temporal,0.5,dfr_count_sequence::rbf_svm,DFR/count sequence · RBF SVM,dfr_count_sequence,rbf_svm,128,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0454326899489,0.0522188949399,0.137641814072,-0.0305279521118,0.53461875,0.55375,0.513342,0.498,452,548,456,544,0.452,0.544
temporal,0.5,dfr_count_sequence::positive_part_mean_direction,DFR/count sequence · Positive-part mean direction,dfr_count_sequence,positive_part_mean_direction,128,1600,800,2000,"{""l1_normalized"": true, ""positive_support_size"": 65, ""simplex_operator_interpretation"": false}",0.000269445008598,5.33600104973e-05,0.00012101593893,0.0847186932849,0.511171875,0.5225,0.4949505,0.497,751,249,757,243,0.751,0.243
temporal,0.5,dfr_count_sequence::regularized_hotelling,DFR/count sequence · Regularized Hotelling,dfr_count_sequence,regularized_hotelling,128,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 0.00012228289952284107, ""ridge_fraction"": 0.05}",0.00147300900426,6.75190240145e-05,0.000124701997265,-0.0208131626006,0.5235875,0.54,0.506371,0.4975,400,600,405,595,0.4,0.595
temporal,0.5,detector_first_moment::linear_logistic,Detector first moment · Linear logistic,detector_first_moment,linear_logistic,25,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00292710692156,0.00040349108167,0.000458784052171,0.153168030401,0.497925,0.52125,0.520303,0.513,784,216,758,242,0.784,0.242
temporal,0.5,detector_first_moment::rbf_svm,Detector first moment · RBF SVM,detector_first_moment,rbf_svm,25,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0417873630067,0.0354328280082,0.086486444925,-0.965746169384,0.48148125,0.505,0.510101,0.5075,37,963,22,978,0.037,0.978
temporal,0.5,detector_first_moment::positive_part_mean_direction,Detector first moment · Positive-part mean direction,detector_first_moment,positive_part_mean_direction,25,1600,800,2000,"{""l1_normalized"": true, ""positive_support_size"": 12, ""simplex_operator_interpretation"": false}",9.64819919318e-05,1.86839606613e-05,2.50320881605e-05,0.0706049465241,0.49731875,0.51625,0.5212625,0.494,159,841,171,829,0.159,0.829
temporal,0.5,detector_first_moment::regularized_hotelling,Detector first moment · Regularized Hotelling,detector_first_moment,regularized_hotelling,25,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 2.871457860228118e-05, ""ridge_fraction"": 0.05}",0.000300519983284,1.1035008356e-05,2.12240265682e-05,-0.0223792234454,0.49763125,0.52,0.520244,0.5135,783,217,756,244,0.783,0.244
temporal,0.5,translation::linear_logistic,Translation statistic / pair lift · Linear logistic,translation,linear_logistic,9,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00222734000999,0.000208555953577,0.00021733995527,0.0175618276556,0.779625,0.71,0.750977,0.6835,710,290,343,657,0.71,0.657
temporal,0.5,translation::rbf_svm,Translation statistic / pair lift · RBF SVM,translation,rbf_svm,9,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0343524769414,0.0374716070946,0.0607540189521,-0.196005681768,0.53646875,0.535,0.555002,0.541,402,598,320,680,0.402,0.68
temporal,0.5,translation::positive_part_mean_direction,Translation statistic / pair lift · Positive-part mean direction,translation,positive_part_mean_direction,9,1600,800,2000,"{""l1_normalized"": true, ""positive_support_size"": 7, ""simplex_operator_interpretation"": false}",7.9013989307e-05,1.25670339912e-05,1.4279037714e-05,0.571057502329,0.51774375,0.53,0.498488,0.4955,490,510,499,501,0.49,0.501
temporal,0.5,translation::regularized_hotelling,Translation statistic / pair lift · Regularized Hotelling,translation,regularized_hotelling,9,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 2.0902351733905667e-05, ""ridge_fraction"": 0.05}",0.000253941048868,1.00770266727e-05,1.54229346663e-05,-0.00318876464379,0.53973125,0.5425,0.524887,0.5215,438,562,395,605,0.438,0.605
temporal,0.5,symmetry_fourier::linear_logistic,D4 Fourier / pair lift · Linear logistic,symmetry_fourier,linear_logistic,36,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00372660509311,0.000290772994049,0.000306442962028,-0.182032352302,0.86650625,0.7875,0.849434,0.772,742,258,198,802,0.742,0.802
temporal,0.5,symmetry_fourier::rbf_svm,D4 Fourier / pair lift · RBF SVM,symmetry_fourier,rbf_svm,36,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0276650899323,0.0253736099694,0.0621462470153,0.0194361645967,0.8508625,0.7725,0.82699,0.7385,736,264,259,741,0.736,0.741
