regime,time,score,contrast,e_value,anytime_p_value,alarm,witness_rank
null,81,-0.0032746288439331472,0.017048863517001942,0.9611068132985529,1.0,False,1
null,82,0.00512660916457576,0.017093916967780055,0.9621598268518704,1.0,False,1
null,83,-0.0007468770780176548,0.016936813672381007,0.9620059766982996,1.0,False,1
null,84,0.02906224544897211,0.016258585478918848,0.967990697214272,1.0,False,1
null,85,0.0029507865906202024,0.017568812014005716,0.9686079615313412,1.0,False,1
null,86,-0.030172352055090695,0.01784841835975607,0.9622856161138432,1.0,False,1
null,87,0.011771822546976729,0.0142683740718034,0.9647119936653953,1.0,False,1
null,88,0.02051744491196321,0.014494901554586867,0.9689683159480768,1.0,False,1
null,89,0.02038610314924727,0.016401054639681417,0.9732448251292865,1.0,False,1
null,90,-0.002856968744722327,0.017118832901889355,0.9726388002775707,1.0,False,1
null,91,0.001063213713266481,0.01671291327819593,0.9728639965834552,1.0,False,1
null,92,-0.012661170051853063,0.016315992294951457,0.9701805043620848,1.0,False,1
null,93,0.004717851370544299,0.015383567517651258,0.9711735956381207,1.0,False,1
null,94,-0.0076144041442893495,0.014733457617200537,0.9695665483503231,1.0,False,1
null,95,-0.008957484149937203,0.015306322101905384,0.9676837548737725,1.0,False,1
null,96,0.013094424870836036,0.01593879815318703,0.9704228665551615,1.0,False,1
null,97,-0.010900341234745273,0.016207508042446053,0.9681263154192487,1.0,False,1
null,98,0.001956723978686223,0.014416341479647328,0.9685361483653606,1.0,False,1
null,99,-0.005936644376238226,0.0143019497129858,0.9672913189068245,1.0,False,1
null,100,-0.023401735708218574,0.013375700979992466,0.9623998411206562,1.0,False,1
null,101,-0.0012729851023886712,0.012991759146366216,0.9621371276122166,1.0,False,1
null,102,-0.0011624984650657755,0.012957768771184422,0.9618973657044986,1.0,False,1
null,103,-0.008450603060010636,0.011764865109249246,0.9601554395314538,1.0,False,1
null,104,0.0033809745280868886,0.01273799645047149,0.9608492175163307,1.0,False,1
null,105,0.0029860137563458428,0.014823081972551267,0.9614631062888074,1.0,False,1
null,106,0.010537515373409356,0.015662113931003786,0.9636331213466822,1.0,False,1
null,107,-0.005734066160578782,0.017559804061326595,0.9624454911533127,1.0,False,1
null,108,-0.001340024149741631,0.017236468568507954,0.9621687941701763,1.0,False,1
null,109,0.014931849437999245,0.016565739744258807,0.9652499582009632,1.0,False,1
null,110,0.018846976029995022,0.016505492914831842,0.9691706517485601,1.0,False,1
null,111,0.004746130464292397,0.015915729263159196,0.9701681315841936,1.0,False,1
null,112,-0.017089533717416117,0.015120369285732353,0.9665670033526412,1.0,False,1
null,113,-0.0012280502275951732,0.013592696919335222,0.9663106241716259,1.0,False,1
null,114,-0.020418307495432914,0.014360419883191845,0.9620505345640726,1.0,False,1
null,115,0.0017395620542268314,0.014440989050071901,0.9624094704726508,1.0,False,1
null,116,0.0030930528310809113,0.01541151690147185,0.9630483143103913,1.0,False,1
null,117,0.0013784622935486407,0.0160239308690861,0.9633335147468436,1.0,False,1
null,118,-0.001382575195207611,0.01569555717047707,0.9630472359731753,1.0,False,1
null,119,-0.00416063576831828,0.015106156532015424,0.9621863309699747,1.0,False,1
null,120,-0.0002890738201392351,0.01424677912116625,0.9621266487855352,1.0,False,1
null,121,0.00919357119553492,0.013634236499636144,0.964024543880608,1.0,False,1
null,122,0.009965340241542497,0.01409983917242723,0.9660920904006071,1.0,False,1
null,123,0.012445050263405769,0.013401934940453115,0.9686881757446848,1.0,False,1
null,124,0.017823308443007377,0.0131665222897571,0.9724314784022211,1.0,False,1
null,125,-0.021944444978970835,0.013400097498192957,0.9677777321474573,1.0,False,1
null,126,-0.007208876864132394,0.012348631873865068,0.9662672071467193,1.0,False,1
null,127,0.0002634774989949129,0.014734204709655686,0.9663222011829542,1.0,False,1
null,128,0.012285483831845398,0.01382922777639871,0.9688869457813377,1.0,False,1
null,129,-0.011178250549817331,0.015488975230874304,0.9665376827758836,1.0,False,1
null,130,0.0072724912892400545,0.015078067462155242,0.9680568551895476,1.0,False,1
null,131,0.011448912116719251,0.01568565441629126,0.9704579949954133,1.0,False,1
null,132,0.02614648817238728,0.015156593704910121,0.9759759685152147,1.0,False,1
null,133,-0.0005003164704336233,0.017392076427660972,0.9758688724247557,1.0,False,1
null,134,0.00550276368748065,0.0170083916859739,0.9770464956506862,1.0,False,1
