regime,stream,alarm,alarm_time,delay,max_e_value
null,73,False,,,1.0125465843582613
null,74,False,,,1.0462195161977188
null,75,False,,,1.039274443085309
null,76,False,,,1.0292591084272316
null,77,False,,,1.029347858184232
null,78,False,,,1.0232334170104285
null,79,False,,,1.0892952179797435
null,80,False,,,1.0202634281479641
null,81,False,,,1.0552028359840069
null,82,False,,,1.0383189064881002
null,83,False,,,1.0759022951866828
null,84,False,,,1.0136258641493416
null,85,False,,,1.0161103333699162
null,86,False,,,1.0643963557073721
null,87,False,,,1.0032595426118474
null,88,False,,,1.0128662763553544
null,89,False,,,1.0121214076150686
null,90,False,,,1.0328196393147469
null,91,False,,,1.0128036170045964
null,92,False,,,1.0035851994382137
null,93,False,,,1.0733380170242923
null,94,False,,,1.0190627781525647
null,95,False,,,1.1342286208399899
null,96,False,,,1.014215989958016
null,97,False,,,1.0173613000891917
null,98,False,,,1.0077525081014083
null,99,False,,,1.0160977050089695
null,100,False,,,1.0319643892241004
null,101,False,,,1.0024927904585366
null,102,False,,,1.0351570030050739
null,103,False,,,1.0534722885177004
null,104,False,,,1.0721390215790572
null,105,False,,,1.0538411187801373
null,106,False,,,1.0838246786328338
null,107,False,,,1.0052789485583629
null,108,False,,,1.041616968850004
null,109,False,,,1.0356787676966053
null,110,False,,,1.010267564210134
null,111,False,,,1.0123813287135497
null,112,False,,,1.0200221265986988
null,113,False,,,1.0396712946276407
null,114,False,,,1.0234254854356384
null,115,False,,,1.0537992148221884
null,116,False,,,1.039245639685401
null,117,False,,,1.0866992968816114
null,118,False,,,1.011620434749582
null,119,False,,,1.0101511236470604
change,0,True,141.0,91.0,984410.4311988783
change,1,True,140.0,90.0,914590.4165093168
change,2,True,135.0,85.0,1367126.1589186455
change,3,True,138.0,88.0,1256467.055674669
change,4,True,138.0,88.0,1426556.6589791453
change,5,True,143.0,93.0,831701.0924885365
change,6,True,137.0,87.0,915306.5491734253
change,7,True,138.0,88.0,1145816.230693011
change,8,True,136.0,86.0,1222271.8531704568
change,9,True,137.0,87.0,1273812.599023723
change,10,True,135.0,85.0,1037265.0136833326
change,11,True,140.0,90.0,1438661.7710500904
