observable,displacement_index,delta_row,delta_column,start_row,start_column,first_detector,second_detector,state,q,copies,method,exact_expectation,mean_estimate,bias,rmse,theoretical_estimator_standard_error
ZZ_d2_r3_c1,2,0,2,3,1,16,18,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7054443359375,-0.01044838406249988,0.09834149761171038,0.08727628664289001
ZZ_d2_r3_c2,2,0,2,3,2,17,19,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7142333984375,-0.0016593215624999135,0.08709216559923186,0.08727628664289001
ZZ_d2_r3_c3,2,0,2,3,3,18,15,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7073974609375,-0.008495259062499897,0.09391533325545288,0.08727628664289001
ZZ_d2_r3_c4,2,0,2,3,4,19,16,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7042236328125,-0.011669087187499878,0.09324774134420244,0.08727628664289001
ZZ_d2_r4_c0,2,0,2,4,0,20,22,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7144775390625,-0.0014151809374999265,0.0874062138908486,0.08727628664289001
ZZ_d2_r4_c1,2,0,2,4,1,21,23,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7088623046875,-0.007030415312499847,0.08735356785258701,0.08727628664289001
ZZ_d2_r4_c2,2,0,2,4,2,22,24,null_q035,0.35,64,native_all_z,0.7158927199999999,0.70947265625,-0.0064200637499999165,0.09090411847672057,0.08727628664289001
ZZ_d2_r4_c3,2,0,2,4,3,23,20,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7147216796875,-0.0011710403124999109,0.08112185613716581,0.08727628664289001
ZZ_d2_r4_c4,2,0,2,4,4,24,21,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7091064453125,-0.006786274687499863,0.08848957696044783,0.08727628664289001
ZZ_d3_r0_c0,3,2,0,0,0,0,10,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7203369140625,0.004444194062500078,0.08729217728418753,0.08727628664289001
ZZ_d3_r0_c1,3,2,0,0,1,1,11,null_q035,0.35,64,native_all_z,0.7158927199999999,0.717529296875,0.001636576875000073,0.08217787067030059,0.08727628664289001
ZZ_d3_r0_c2,3,2,0,0,2,2,12,null_q035,0.35,64,native_all_z,0.7158927199999999,0.721923828125,0.006031108125000127,0.08256186900174255,0.08727628664289001
ZZ_d3_r0_c3,3,2,0,0,3,3,13,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7271728515625,0.011280131562500106,0.08281245174629703,0.08727628664289001
ZZ_d3_r0_c4,3,2,0,0,4,4,14,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7142333984375,-0.001659321562499907,0.0801584514571859,0.08727628664289001
ZZ_d3_r1_c0,3,2,0,1,0,5,15,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7088623046875,-0.0070304153124998575,0.09035874851813755,0.08727628664289001
ZZ_d3_r1_c1,3,2,0,1,1,6,16,null_q035,0.35,64,native_all_z,0.7158927199999999,0.712890625,-0.0030020949999998913,0.08476118292608742,0.08727628664289001
ZZ_d3_r1_c2,3,2,0,1,2,7,17,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7122802734375,-0.003612446562499924,0.09197224485891939,0.08727628664289001
ZZ_d3_r1_c3,3,2,0,1,3,8,18,null_q035,0.35,64,native_all_z,0.7158927199999999,0.71240234375,-0.003490376249999923,0.08853132636653058,0.08727628664289001
ZZ_d3_r1_c4,3,2,0,1,4,9,19,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7113037109375,-0.004589009062499906,0.09068865068712582,0.08727628664289001
ZZ_d3_r2_c0,3,2,0,2,0,10,20,null_q035,0.35,64,native_all_z,0.7158927199999999,0.71533203125,-0.0005606887499998597,0.09175572362817294,0.08727628664289001
ZZ_d3_r2_c1,3,2,0,2,1,11,21,null_q035,0.35,64,native_all_z,0.7158927199999999,0.714111328125,-0.001781391874999927,0.09365211465977906,0.08727628664289001
ZZ_d3_r2_c2,3,2,0,2,2,12,22,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7105712890625,-0.005321430937499896,0.09311487621237156,0.08727628664289001
ZZ_d3_r2_c3,3,2,0,2,3,13,23,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7252197265625,0.009327006562500113,0.08434316642637103,0.08727628664289001
ZZ_d3_r2_c4,3,2,0,2,4,14,24,null_q035,0.35,64,native_all_z,0.7158927199999999,0.715087890625,-0.0008048293749999269,0.08714208542893985,0.08727628664289001
ZZ_d3_r3_c0,3,2,0,3,0,15,0,null_q035,0.35,64,native_all_z,0.7158927199999999,0.717529296875,0.001636576875000094,0.09699603973760813,0.08727628664289001
ZZ_d3_r3_c1,3,2,0,3,1,16,1,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7088623046875,-0.007030415312499913,0.0933489145090292,0.08727628664289001
ZZ_d3_r3_c2,3,2,0,3,2,17,2,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7193603515625,0.003467631562500133,0.09190183672767523,0.08727628664289001
ZZ_d3_r3_c3,3,2,0,3,3,18,3,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7144775390625,-0.0014151809374999273,0.08844745160536156,0.08727628664289001
ZZ_d3_r3_c4,3,2,0,3,4,19,4,null_q035,0.35,64,native_all_z,0.7158927199999999,0.713623046875,-0.0022696731249999195,0.08433474761014671,0.08727628664289001
ZZ_d3_r4_c0,3,2,0,4,0,20,5,null_q035,0.35,64,native_all_z,0.7158927199999999,0.71044921875,-0.005443501249999833,0.08733996931763059,0.08727628664289001
ZZ_d3_r4_c1,3,2,0,4,1,21,6,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7144775390625,-0.001415180937499927,0.0916667097689111,0.08727628664289001
ZZ_d3_r4_c2,3,2,0,4,2,22,7,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7186279296875,0.0027352096875000917,0.0865778101091456,0.08727628664289001
ZZ_d3_r4_c3,3,2,0,4,3,23,8,null_q035,0.35,64,native_all_z,0.7158927199999999,0.7188720703125,0.0029793503125000874,0.08828736459009312,0.08727628664289001
ZZ_d3_r4_c4,3,2,0,4,4,24,9,null_q035,0.35,64,native_all_z,0.7158927199999999,0.717041015625,0.001148295625000073,0.08632680008131685,0.08727628664289001
ZZ_d0_r0_c0,0,0,1,0,0,0,1,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.77178955078125,0.04211267078125033,0.3654520493725772,0.3637386521166645
ZZ_d0_r0_c1,0,0,1,0,1,1,2,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.76025390625,0.030577026250000236,0.39461357346867104,0.3637386521166645
ZZ_d0_r0_c2,0,0,1,0,2,2,3,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.72125244140625,-0.008424438593749924,0.35306057266937124,0.3637386521166645
ZZ_d0_r0_c3,0,0,1,0,3,3,4,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.7371826171875,0.007505737187500023,0.3403664362424733,0.3637386521166645
ZZ_d0_r0_c4,0,0,1,0,4,4,0,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.76190185546875,0.03222497546875019,0.36447813689627845,0.3637386521166645
ZZ_d0_r1_c0,0,0,1,1,0,5,6,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.7119140625,-0.01776281749999996,0.38200429406752323,0.3637386521166645
ZZ_d0_r1_c1,0,0,1,1,1,6,7,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.802001953125,0.07232507312500037,0.3803901490132206,0.3637386521166645
ZZ_d0_r1_c2,0,0,1,1,2,7,8,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.74322509765625,0.013548217656250312,0.35096430991063216,0.3637386521166645
ZZ_d0_r1_c3,0,0,1,1,3,8,9,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.72674560546875,-0.002931274531249972,0.3565683309188427,0.3637386521166645
ZZ_d0_r1_c4,0,0,1,1,4,9,5,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.70037841796875,-0.029298462031249806,0.3554971702580979,0.3637386521166645
ZZ_d0_r2_c0,0,0,1,2,0,10,11,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.7086181640625,-0.021058715937499937,0.34009813753069423,0.3637386521166645
