state,q,repetition,seed,copies,method,pair_observables,rmse,mae,mean_bias,maximum_absolute_error,mean_exact_expectation,mean_estimate
null_q035,0.35,43,550044,1024,native_all_z,100,0.020042220115082048,0.016572372599999986,-0.00630042499999995,0.04792396999999993,0.7227848,0.716484375
null_q035,0.35,43,550044,1024,local_pauli_shadow,100,0.09241002512768517,0.070811197475,-0.00744300312499995,0.30743249500000003,0.7227848,0.715341796875
null_q035,0.35,43,550044,2048,native_all_z,100,0.014339314153861013,0.011168567299999998,-6.995624999994954e-05,0.03522865749999993,0.7227848,0.72271484375
null_q035,0.35,43,550044,2048,local_pauli_shadow,100,0.06428037986990873,0.05051451488749999,-0.015924448437499947,0.16278234874999997,0.7227848,0.7068603515625
null_q035,0.35,43,550044,4096,native_all_z,100,0.012804800730520302,0.009963143224999985,-0.0028726906249999496,0.03376381374999993,0.7227848,0.719912109375
null_q035,0.35,43,550044,4096,local_pauli_shadow,100,0.0435129746301412,0.034932639143750006,0.005498891406250051,0.15142663562500003,0.7227848,0.72828369140625
null_q035,0.35,44,550045,64,native_all_z,100,0.10589413618216262,0.0900671904,0.00034020000000005044,0.26092687999999997,0.7227848,0.723125
null_q035,0.35,44,550045,64,local_pauli_shadow,100,0.33264617762762044,0.266595476,0.02815270000000006,0.7158927199999999,0.7227848,0.7509375
null_q035,0.35,44,550045,128,native_all_z,100,0.05948912161283271,0.04742612720000002,0.00752770000000005,0.13592687999999997,0.7227848,0.7303125
null_q035,0.35,44,550045,128,local_pauli_shadow,100,0.26718921856982536,0.217718949,0.06401207500000006,0.74688562,0.7227848,0.786796875
null_q035,0.35,44,550045,256,native_all_z,100,0.042250440821858894,0.03356804000000001,0.00752770000000005,0.11248937999999997,0.7227848,0.7303125
null_q035,0.35,44,550045,256,local_pauli_shadow,100,0.17383565410557547,0.13942605909999997,-0.0010269874999999473,0.48358312999999997,0.7227848,0.7217578125
null_q035,0.35,44,550045,512,native_all_z,100,0.025261170727351515,0.02074076460000001,0.00955895000000005,0.06329187000000003,0.7227848,0.73234375
null_q035,0.35,44,550045,512,local_pauli_shadow,100,0.13090694415336065,0.10848117139999999,0.017605825000000058,0.39532312000000003,0.7227848,0.740390625
null_q035,0.35,44,550045,1024,native_all_z,100,0.0199626254798223,0.015798149400000003,0.005183950000000051,0.04973228000000007,0.7227848,0.72796875
null_q035,0.35,44,550045,1024,local_pauli_shadow,100,0.09285644307302338,0.07612531782500001,0.032107778125000055,0.2772713425000001,0.7227848,0.754892578125
null_q035,0.35,44,550045,2048,native_all_z,100,0.01390580447259605,0.011105242950000007,0.00403160625000005,0.04278405750000003,0.7227848,0.72681640625
null_q035,0.35,44,550045,2048,local_pauli_shadow,100,0.06308344493296862,0.0504968831625,0.018528676562500054,0.18059165500000007,0.7227848,0.7413134765625
null_q035,0.35,44,550045,4096,native_all_z,100,0.009456684355486886,0.007530134400000019,0.0028304343750000503,0.026670776250000028,0.7227848,0.725615234375
null_q035,0.35,44,550045,4096,local_pauli_shadow,100,0.044655979729923356,0.03590887371250001,0.006487660937500051,0.12505944812500003,0.7227848,0.7292724609375
null_q035,0.35,45,550046,64,native_all_z,100,0.08894411491361527,0.0718690352,-0.030909799999999946,0.21589271999999993,0.7227848,0.691875
null_q035,0.35,45,550046,64,local_pauli_shadow,100,0.3760602697826725,0.28587953159999996,-0.07450354999999995,1.01092688,0.7227848,0.64828125
null_q035,0.35,45,550046,128,native_all_z,100,0.07801211157741085,0.0601042464,-0.011847299999999948,0.23151771999999993,0.7227848,0.7109375
null_q035,0.35,45,550046,128,local_pauli_shadow,100,0.26730725187088805,0.21806319079999995,-0.06606604999999995,0.58905188,0.7227848,0.65671875
null_q035,0.35,45,550046,256,native_all_z,100,0.05221833032103192,0.04192292360000001,0.007058950000000051,0.15339271999999993,0.7227848,0.72984375
null_q035,0.35,45,550046,256,local_pauli_shadow,100,0.16272082385859385,0.13780511230000003,0.010223012500000052,0.39532312000000003,0.7227848,0.7330078125
null_q035,0.35,45,550046,512,native_all_z,100,0.030523701197555486,0.023916706200000012,0.003933950000000051,0.08308021999999993,0.7227848,0.72671875
null_q035,0.35,45,550046,512,local_pauli_shadow,100,0.1275728899903159,0.10691568285000003,0.034656606250000055,0.36016687000000003,0.7227848,0.75744140625
