regime,stream,alarm,alarm_time,delay,max_e_value
null,174,False,,,1.7126727083453481
null,175,False,,,1.2183109870547078
null,176,False,,,1.239054907866778
null,177,False,,,1.366050581791532
null,178,False,,,1.0320458018651644
null,179,False,,,1.3231275547753858
null,180,False,,,1.9404094867281014
null,181,False,,,1.0
null,182,False,,,1.7344988322513184
null,183,False,,,3.489398711764157
null,184,False,,,1.0
null,185,False,,,1.514661526646444
null,186,False,,,1.1175968950962658
null,187,False,,,1.6940719965392874
null,188,False,,,2.065156861719018
null,189,False,,,1.407670535367185
null,190,False,,,11.450040466705897
null,191,False,,,2.886978101349062
null,192,False,,,3.10609762320595
null,193,False,,,1.0521129176270003
null,194,False,,,2.7216994123176623
null,195,False,,,1.407670535367185
null,196,False,,,5.435624384057773
null,197,False,,,3.8528932901824926
null,198,False,,,2.160760930884633
null,199,False,,,2.8955377716545714
null,200,False,,,1.2051250591362743
null,201,False,,,1.0651938884546899
null,202,False,,,1.3694387722999852
null,203,False,,,1.0606933490616148
null,204,False,,,1.216908109739845
null,205,False,,,1.2927930641026535
null,206,False,,,2.0025380979025766
null,207,False,,,4.375886601148053
null,208,False,,,1.0334178981584214
null,209,False,,,1.1175968950962658
null,210,False,,,78.2259317573509
null,211,False,,,1.5467883885041014
null,212,False,,,1.696375343379315
null,213,False,,,1.0521129176270003
null,214,False,,,2.454006407983196
null,215,False,,,1.4316435088397585
null,216,False,,,1.4516687895096778
null,217,False,,,1.7975667476950297
null,218,False,,,1.2557359012514846
null,219,False,,,1.405223488274654
null,220,False,,,1.948852091738818
null,221,False,,,1.2927930641026535
null,222,False,,,1.4519636636290292
null,223,False,,,4.984743889631261
null,224,False,,,1.1175968950962658
null,225,False,,,1.145230132150303
null,226,False,,,3.284586456691182
null,227,False,,,1.6352760870751828
null,228,False,,,1.0180164414671837
null,229,False,,,2.272636396751433
null,230,False,,,1.21950374356698
null,231,False,,,1.1175968950962658
null,232,False,,,4.882436454987764
null,233,False,,,1.0217294395354728
null,234,False,,,2.161889864035276
null,235,False,,,1.0
null,236,False,,,1.407670535367185
null,237,False,,,1.1081372559021507
null,238,False,,,1.2570117058386516
null,239,False,,,1.0886999122986882
null,240,False,,,1.8426539738632415
null,241,False,,,1.2927930641026535
null,242,False,,,1.1235140210839079
null,243,False,,,9.868179041929308
null,244,False,,,1.0814686064354089
null,245,False,,,3.667532854978908
