trial,dimension,samples,accumulator_error,density_error,mass_error
77,9,59,4.819989660377788e-15,6.835518526623442e-17,1.4210854715202004e-14
78,14,7,5.038767046112804e-16,6.21657360420543e-17,0.0
79,11,65,1.0396459313796207e-14,1.1493340809802217e-16,0.0
80,11,7,6.162347253965434e-16,7.427172651741564e-17,0.0
81,12,20,1.2351718421218376e-15,7.488710059991467e-17,7.105427357601002e-15
82,14,7,7.1016112964742205e-16,5.042000575499834e-17,0.0
83,11,33,2.750148993164391e-15,9.248241353685999e-17,7.105427357601002e-15
84,2,5,4.710277376051325e-16,6.798699777552591e-17,0.0
85,14,68,6.7735067636927925e-15,1.3934278061196245e-16,2.842170943040401e-14
86,8,8,1.0656568827291144e-15,6.660355517056965e-17,0.0
87,14,26,2.5949793359587184e-15,7.284177620172756e-17,7.105427357601002e-15
88,10,71,7.522938719262942e-15,1.4563755286769577e-16,2.842170943040401e-14
89,17,65,6.521692850256808e-15,1.510696986291486e-16,4.263256414560601e-14
90,14,26,1.975166845097474e-15,4.98745673027861e-17,0.0
91,14,33,2.981016174146234e-15,8.797154059645259e-17,7.105427357601002e-15
92,4,68,1.1253302945858186e-14,2.683528068785997e-16,2.842170943040401e-14
93,2,68,1.589132144548956e-14,2.2889148743107297e-16,0.0
94,11,27,2.536087408938894e-15,2.0886513973532604e-16,2.1316282072803006e-14
95,14,10,8.956844490292384e-16,5.597775820372961e-17,0.0
96,10,66,9.466365504504873e-15,8.075162964168729e-17,1.4210854715202004e-14
97,8,70,1.2274618931819889e-14,1.7110235517270737e-16,1.4210854715202004e-14
98,15,63,3.412689622244832e-15,3.994423858414705e-17,0.0
99,2,28,5.063396036227354e-15,9.813077866773595e-18,7.105427357601002e-15
